feature,gain
forecast_rainfall,49541.19428372383
forecast_pressure,34361.7258310318
forecast_temperature,30570.540364027023
lead_day,17366.785247206688
forecast_temp_humidity_interact,15575.85593008995
forecast_wind_speed,11087.675806045532
forecast_humidity,11065.502116203308
forecast_wind_u,9888.246665477753
forecast_wind_direction,9514.972556829453
forecast_wind_pressure_interact,9229.238468647003
forecast_wind_v,8435.08053612709
longitude,7474.067713022232
historical_error_lag1,7432.867881059647
latitude,6494.053749203682
init_day_of_year,1204.0396828651428
init_day_cos,76.20402956008911
init_month,0.0
lead_day_squared,0.0
init_day_sin,0.0
