feature,mean_abs_shap,rank
forecast_rainfall,0.47670073763018195,1
lead_day,0.3663483468912685,2
forecast_pressure,0.23604797337428995,3
forecast_temperature,0.2024335859894912,4
forecast_wind_pressure_interact,0.11842601345874446,5
forecast_temp_humidity_interact,0.07369980761987621,6
forecast_wind_speed,0.069217930313032,7
forecast_humidity,0.05724549213595484,8
forecast_wind_u,0.049174350521356554,9
forecast_wind_direction,0.04738610341188462,10
historical_error_lag1,0.04470878840235678,11
latitude,0.040029900006010824,12
forecast_wind_v,0.036495767825961,13
longitude,0.03147016703988913,14
init_day_of_year,0.008456680887310934,15
init_day_cos,0.00042874933598656786,16
init_month,0.0,17
lead_day_squared,0.0,18
init_day_sin,0.0,19
