lead_day,temperature_absolute_error_mean,temperature_absolute_error_median,temperature_absolute_error_std,temperature_absolute_error_75th,temperature_absolute_error_90th,temperature_absolute_error_95th,temperature_absolute_error_max,rainfall_absolute_error_mean,rainfall_absolute_error_median,rainfall_absolute_error_std,rainfall_absolute_error_75th,rainfall_absolute_error_90th,rainfall_absolute_error_95th,rainfall_absolute_error_max,wind_vector_error_mean,wind_vector_error_median,wind_vector_error_std,wind_vector_error_75th,wind_vector_error_90th,wind_vector_error_95th,wind_vector_error_max,pressure_absolute_error_mean,pressure_absolute_error_median,pressure_absolute_error_std,pressure_absolute_error_75th,pressure_absolute_error_90th,pressure_absolute_error_95th,pressure_absolute_error_max,humidity_absolute_error_mean,humidity_absolute_error_median,humidity_absolute_error_std,humidity_absolute_error_75th,humidity_absolute_error_90th,humidity_absolute_error_95th,humidity_absolute_error_max,combined_error_score_mean,combined_error_score_median,combined_error_score_std,combined_error_score_75th,combined_error_score_90th,combined_error_score_95th,combined_error_score_max
1,1.919115206157842,1.5891833190792735,1.513333402160571,2.7575753622716856,3.9529871574814974,4.716027782750321,12.472363748512596,2.2205614695179263,1.7185562386746227,1.956152023089233,3.122743955258268,4.744634938316696,5.98227006150572,20.62652398103596,2.108836058094695,1.9479410227574456,1.2181165725888778,2.7681401727372674,3.5767353802359176,4.215978918739566,12.693797364306267,1.3395968499509556,1.1140735057418283,1.0489005397020366,1.9248647212856156,2.7389382469823884,3.267703217796079,8.862132585855875,3.776560783804673,3.1213759042109714,3.0559899241707753,5.342674566894626,7.8651860023891045,9.622389350595734,23.909280969850116,0.2719261294204524,0.04928806331244042,0.44445452244456635,0.3602478911808139,0.890285203241982,1.2750034628991616,3.2064674929669126
2,2.5328629989191924,2.0974000158383106,2.0273341017657787,3.4867190066585785,5.1370844670453355,6.309153340214551,22.138105678674027,2.8943795048469716,2.194762413606348,2.571373735079508,4.076051068877078,6.254499088330593,7.781266510990793,21.929669337738474,2.706888364668513,2.492279268549866,1.542518550176825,3.5489130003477696,4.649077765809516,5.442761669342877,11.096376117900851,1.7432532861182373,1.433190314348053,1.3962475474245348,2.443465989067903,3.6228604844637173,4.3656897761031646,13.054688630016813,5.003613416987067,4.1102658159072885,4.039472245533086,6.9597009808603545,10.528545970989994,12.843040933260594,32.411462738582976,0.5389965639823426,0.30302595039649305,0.6771272251590246,0.7905099902614652,1.4418812294255987,1.9742479189345457,6.684022368111507
3,3.211632546964083,2.5889218612196654,2.6529221114005646,4.5507173210271965,6.638581858294894,8.08431688499932,23.675113083991807,3.423057669196018,2.5754074623752343,3.1545468525540943,4.784520972868529,7.595310627563921,9.561321840505103,25.7482559391767,3.352768841138423,3.0960915030405043,1.913125003390068,4.391353549467602,5.7563701481074485,6.755008719212199,15.494433877943848,2.130863056399077,1.7667943636675432,1.7057766630695967,3.0761216549183246,4.391900392782486,5.311227958999763,16.003744073014218,6.235067646998081,5.172240215263068,4.972463008893075,8.830917944651823,12.99748682599602,15.791826225138841,39.04033660086943,0.858722633770836,0.6171036613887384,0.8717761189854748,1.2719512921375222,2.0257125434970007,2.55238598034707,8.634279480302494
4,3.8683302463513836,3.2207008469149487,3.1616274021937216,5.381209277462011,7.9421005694489875,9.682302013356342,31.66836767013254,4.070775919172087,3.056543653023263,3.7125701599959497,5.895845392472234,8.997949233537517,11.244817841116626,38.620954913477185,4.029338515282171,3.699711258246686,2.3244807993466385,5.247561931654194,7.047759869099623,8.280446337056672,20.268837422563468,2.5600783354670136,2.144287196690982,2.069642830743709,3.647198298905664,5.319147364266734,6.2972610469476615,28.27339568625166,7.366674483958551,6.065551623849856,5.935819323962773,10.458035053156246,15.537097505319844,18.67768737064412,53.54472664751235,1.2630523250516825,1.025908693199297,1.0723842161240817,1.766517741300008,2.6510987414582505,3.2533612745381513,9.397075416581687
5,4.4625800274651475,3.6918481238696454,3.562810842647612,6.349335546881215,9.219952574952297,11.184553333670694,29.620449528803668,4.5972160387631185,3.252143017281165,4.44288659829745,6.553752643353569,10.42474706492461,13.27765899269634,39.19542533814185,4.702535723769061,4.344042100688217,2.6931278370463465,6.1511215821421406,8.075678047514076,9.42685067919398,27.22110893438255,3.0190232016038783,2.4893459155138657,2.398483442034494,4.270025539788719,6.181063781504588,7.4057895932380475,23.202730824863693,8.403115550260354,6.800620043048628,6.739388522018861,12.002079919369,17.81505602569402,21.473838206173028,52.416535381891954,1.6742345802833187,1.4183809392214282,1.3066881461887974,2.2824667263400134,3.3138662612667122,4.071821221097484,11.812607606678885
6,5.034551898963709,4.083055878900193,4.040740649611045,7.1372042165322425,10.56632394590764,12.967260654368225,29.832837551424365,5.023785029141503,3.551960566152623,4.903275855473112,7.05133106103487,11.572985086331604,14.807748130159778,46.000120031118236,5.347398087205626,4.892418612872667,3.009870011127913,7.009956473556297,9.196533514080404,10.756995148292388,28.618377824533614,3.352845528025007,2.7941614303473443,2.663119652849836,4.781263998938897,6.873209361978445,8.306086699840641,22.46838658226693,9.57823829946478,7.7536766787488,7.831903104062358,13.642711584732012,20.065435652364297,23.99378135661897,77.45090971022377,2.0476392915673416,1.8070384636098233,1.4595578990562532,2.8199128473935597,3.9179015704152267,4.7129442947720595,12.995961651806937
7,5.574271672866073,4.53937886774151,4.497985695114611,7.871613596773467,11.661490640010879,14.007131536959958,34.974223362247876,5.47421138062661,3.903744220631511,5.361665996392357,7.6787457735756295,12.50528705078567,16.257039031689924,49.707648021840285,6.06033473066103,5.476733467261803,3.5212258753261727,7.951150975202134,10.574473105176924,12.171204644268965,31.00454586790442,3.7543234121077727,3.0420538169040015,3.0536271647835966,5.349330536832952,7.875151711877321,9.484714847963323,27.182140183537967,11.047881264809458,9.034602907456826,8.891641658010359,15.83718930938342,23.075283626610062,27.59602585457196,83.3697674035648,2.509893633085993,2.2121798225905787,1.7245990082193339,3.3430491856363673,4.638405896500151,5.544555481395835,13.263267661919748
8,6.235576798636075,5.112468798730292,4.980773982784263,8.85218509819838,12.930227410766411,15.99401900078651,38.77208297638241,5.9477810610434005,4.023737532923235,6.016316473099058,8.407099412150307,13.852852188795676,17.68443503490857,67.3699649292478,6.749999936946753,6.2557000628944435,3.8428418192490534,8.828560609141812,11.567779016069855,13.461580832387627,35.15986753603017,4.314600165311803,3.5447729080144654,3.448125342105253,6.165762708980623,8.850407609904448,10.896525600310861,28.753334484001016,11.826596542894228,9.676390896346245,9.358893368612808,16.908857101553373,24.533500002451717,29.743804960788538,68.81693526461316,2.958719066305968,2.673238964238236,1.858931262028265,3.869128973249726,5.285240304366016,6.290133638569202,17.3273991975618
9,6.961018365588051,5.6594056384624984,5.792061788977661,9.787134424741073,14.500030696917616,17.5947405697075,67.60173208222795,6.525912162492944,4.435682614007586,6.5635080596640965,9.003786213307691,15.730370123489898,19.67368963203037,56.019807384027075,7.383031982093367,6.721691760381422,4.279305778286121,9.558535517768142,12.777958403781058,14.946641283821894,39.355383538370056,4.6633437239729405,3.822201374440226,3.784208715598284,6.587665829046358,9.570262312192483,11.781884775881073,45.77839273576819,12.79927952566158,10.528833777404309,10.032680768218416,18.423076380121735,26.592800808433793,31.50303905077594,87.5757353437429,3.410899048060958,3.0720655026210766,2.1139793028536853,4.437267364656151,5.953812928716031,7.0484508339510406,26.156157849146233
10,7.574097252869167,6.2223004113258416,6.126113403817644,10.711588156887181,15.583475557632177,19.041556102346895,66.95563387502054,6.992091707881905,4.588403260350018,7.2115463510494875,9.706733265854561,16.704501647038576,21.08356396271009,56.218289687729694,8.142922444993468,7.5095357251210135,4.646802880538813,10.601515606857122,13.854843661028301,16.13960960554706,47.79760548638378,5.211935903083452,4.271137567458595,4.149054465432375,7.441456417249981,10.686104594876735,12.833773617937558,36.60953830099163,13.832438126508452,11.414266824776284,11.015359047732645,19.70110805055988,28.634937759162426,34.74805889089532,84.26917682713908,3.930278227576171,3.585217250609717,2.2880057701599292,5.0507786055052195,6.715802065234078,8.026228665398234,21.48900768928127
