latitude,longitude,total_forecasts,total_busts,bust_frequency
8.0,68.0,50,5,0.1
8.0,69.0,50,2,0.04
8.0,70.0,50,9,0.18
8.0,71.0,50,5,0.1
8.0,72.0,50,9,0.18
8.0,73.0,50,5,0.1
8.0,74.0,50,5,0.1
8.0,75.0,50,7,0.14
8.0,76.0,50,4,0.08
8.0,77.0,50,5,0.1
8.0,78.0,50,4,0.08
8.0,79.0,50,5,0.1
8.0,80.0,50,4,0.08
8.0,81.0,50,5,0.1
8.0,82.0,50,5,0.1
8.0,83.0,50,4,0.08
8.0,84.0,50,2,0.04
8.0,85.0,50,5,0.1
8.0,86.0,50,2,0.04
8.0,87.0,50,6,0.12
8.0,88.0,50,2,0.04
8.0,89.0,50,6,0.12
8.0,90.0,50,5,0.1
8.0,91.0,50,4,0.08
8.0,92.0,50,5,0.1
8.0,93.0,50,4,0.08
8.0,94.0,50,7,0.14
8.0,95.0,50,8,0.16
8.0,96.0,50,5,0.1
8.0,97.0,50,4,0.08
9.0,68.0,50,1,0.02
9.0,69.0,50,4,0.08
9.0,70.0,50,5,0.1
9.0,71.0,50,6,0.12
9.0,72.0,50,8,0.16
9.0,73.0,50,5,0.1
9.0,74.0,50,10,0.2
9.0,75.0,50,10,0.2
9.0,76.0,50,4,0.08
9.0,77.0,50,3,0.06
9.0,78.0,50,5,0.1
9.0,79.0,50,4,0.08
9.0,80.0,50,7,0.14
9.0,81.0,50,6,0.12
9.0,82.0,50,4,0.08
9.0,83.0,50,3,0.06
9.0,84.0,50,3,0.06
9.0,85.0,50,1,0.02
9.0,86.0,50,6,0.12
9.0,87.0,50,4,0.08
9.0,88.0,50,10,0.2
9.0,89.0,50,7,0.14
9.0,90.0,50,5,0.1
9.0,91.0,50,2,0.04
9.0,92.0,50,4,0.08
9.0,93.0,50,4,0.08
9.0,94.0,50,3,0.06
9.0,95.0,50,4,0.08
9.0,96.0,50,6,0.12
9.0,97.0,50,5,0.1
10.0,68.0,50,5,0.1
10.0,69.0,50,3,0.06
10.0,70.0,50,6,0.12
10.0,71.0,50,9,0.18
10.0,72.0,50,5,0.1
10.0,73.0,50,5,0.1
10.0,74.0,50,7,0.14
10.0,75.0,50,1,0.02
10.0,76.0,50,8,0.16
10.0,77.0,50,3,0.06
10.0,78.0,50,5,0.1
10.0,79.0,50,5,0.1
10.0,80.0,50,8,0.16
10.0,81.0,50,4,0.08
10.0,82.0,50,5,0.1
10.0,83.0,50,3,0.06
10.0,84.0,50,5,0.1
10.0,85.0,50,5,0.1
10.0,86.0,50,3,0.06
10.0,87.0,50,1,0.02
10.0,88.0,50,9,0.18
10.0,89.0,50,3,0.06
10.0,90.0,50,2,0.04
10.0,91.0,50,7,0.14
10.0,92.0,50,5,0.1
10.0,93.0,50,4,0.08
10.0,94.0,50,6,0.12
10.0,95.0,50,3,0.06
10.0,96.0,50,3,0.06
10.0,97.0,50,4,0.08
11.0,68.0,50,4,0.08
11.0,69.0,50,8,0.16
11.0,70.0,50,6,0.12
11.0,71.0,50,8,0.16
11.0,72.0,50,4,0.08
11.0,73.0,50,5,0.1
11.0,74.0,50,8,0.16
11.0,75.0,50,3,0.06
11.0,76.0,50,6,0.12
11.0,77.0,50,5,0.1
11.0,78.0,50,5,0.1
11.0,79.0,50,3,0.06
11.0,80.0,50,6,0.12
11.0,81.0,50,7,0.14
11.0,82.0,50,5,0.1
11.0,83.0,50,3,0.06
11.0,84.0,50,7,0.14
11.0,85.0,50,5,0.1
11.0,86.0,50,6,0.12
